n_generaciones,metodo,repeticion,mejor_fitness,generacion_mejor_fitness,mejor_x,tiempo_ejecucion_seg
20,ruleta,1,0.9041159928571376,8,1020967566,0.0022749900817871094
20,ruleta,2,0.9623248456457147,4,1053320943,0.002148866653442383
20,ruleta,3,0.9192477177942185,6,1029475819,0.0016849040985107422
20,torneo,1,0.8601081286225067,20,995809800,0.0020439624786376953
20,torneo,2,0.9649831433385297,19,1054774771,0.002062559127807617
20,torneo,3,0.8368143859259133,10,982232814,0.0026102066040039062
20,elitismo,1,0.8158443800394855,15,969847684,0.0016469955444335938
20,elitismo,2,0.9966583889599342,20,1071946309,0.0017826557159423828
20,elitismo,3,0.6069933676759329,17,836549883,0.001783609390258789
100,ruleta,1,0.9872811482813514,96,1066891591,0.0077724456787109375
100,ruleta,2,0.9966548558552537,53,1071944409,0.00842595100402832
100,ruleta,3,0.9846643951017037,75,1065476774,0.007906913757324219
100,torneo,1,0.9999684805671573,99,1073724902,0.009371042251586914
100,torneo,2,0.9670382962506472,76,1055897366,0.009601116180419922
100,torneo,3,0.9997137822150688,99,1073588151,0.010343074798583984
100,elitismo,1,0.9999999962747097,88,1073741822,0.007851123809814453
100,elitismo,2,0.9999961834437308,88,1073739775,0.0076639652252197266
100,elitismo,3,0.9999694062874213,95,1073725399,0.00795745849609375
200,ruleta,1,0.9992181343608557,184,1073321981,0.016391992568969727
200,ruleta,2,0.9999598939267791,84,1073720292,0.01594233512878418
200,ruleta,3,0.9999334804600346,172,1073706111,0.015672922134399414
200,torneo,1,0.9999995119870304,110,1073741562,0.01835346221923828
200,torneo,2,0.9999998528510387,164,1073741745,0.018220186233520508
200,torneo,3,0.9999658412423185,189,1073723485,0.017919301986694336
200,elitismo,1,0.9999959431629795,197,1073739646,0.01540684700012207
200,elitismo,2,0.9999999981373549,176,1073741823,0.015761137008666992
200,elitismo,3,0.9999999981373549,106,1073741823,0.01443791389465332
