analista,alertas_asignadas,carga_total_min,criticidad_critica,severidad_promedio,carga_promedio_por_alerta_min
1,49,1881,6,50.53061224489796,38.38775510204081
2,41,1750,8,54.46341463414634,42.68292682926829
3,49,2048,7,54.44897959183673,41.795918367346935
4,49,2030,8,53.97959183673469,41.42857142857143
5,47,2139,11,58.95744680851064,45.51063829787234
6,47,1887,9,52.255319148936174,40.148936170212764
7,53,2231,9,54.79245283018868,42.094339622641506
8,61,2367,7,49.622950819672134,38.80327868852459
9,52,2242,10,56.0,43.11538461538461
10,52,2026,10,50.86538461538461,38.96153846153846
