id_alerta,llegada_min,prioridad,severidad,tiempo_estimado_min,sla_min
1,0,Media,48,32,120
2,1,Baja,19,19,240
3,2,Baja,16,18,240
4,2,Media,40,31,120
5,4,Media,41,33,120
6,5,Media,37,25,120
7,6,Baja,16,11,240
8,7,Baja,25,16,240
9,8,Media,42,32,120
10,10,Media,33,26,120
11,11,Media,50,34,120
12,13,Baja,28,15,240
13,14,Baja,27,16,240
14,18,Baja,7,7,240
15,18,Media,47,33,120
16,19,Media,47,31,120
17,20,Baja,25,21,240
18,22,Media,38,28,120
19,23,Media,43,30,120
20,24,Media,49,31,120
21,24,Baja,15,12,240
22,26,Media,47,33,120
23,26,Media,50,35,120
24,26,Baja,5,13,240
25,27,Baja,28,15,240
26,28,Media,46,33,120
27,28,Media,46,32,120
28,29,Baja,25,16,240
29,29,Media,34,25,120
30,30,Media,48,35,120
31,31,Baja,25,20,240
32,31,Baja,29,22,240
33,34,Baja,28,18,240
34,35,Media,41,28,120
35,36,Baja,29,15,240
36,40,Media,49,36,120
37,41,Alta,78,56,60
38,44,Alta,67,48,60
39,45,Alta,67,50,60
40,46,Baja,15,13,240
41,48,Alta,77,51,60
42,49,Alta,48,40,60
43,49,Critica,86,67,30
44,50,Alta,46,39,60
45,50,Alta,75,48,60
46,55,Alta,50,47,60
47,56,Alta,74,54,60
48,57,Alta,59,48,60
49,57,Critica,81,69,30
50,59,Alta,67,48,60
51,60,Critica,93,70,30
52,60,Alta,67,51,60
53,61,Critica,86,73,30
54,61,Critica,95,72,30
55,61,Alta,67,47,60
56,62,Critica,90,71,30
57,62,Critica,80,70,30
58,63,Critica,87,72,30
59,64,Critica,87,70,30
60,64,Critica,84,73,30
61,65,Alta,68,49,60
62,65,Alta,68,53,60
63,68,Baja,24,18,240
64,70,Baja,9,10,240
65,70,Baja,24,20,240
66,73,Critica,80,68,30
67,75,Alta,54,45,60
68,75,Critica,81,66,30
69,77,Alta,57,48,60
70,80,Critica,92,70,30
71,80,Critica,83,72,30
72,82,Critica,99,78,30
73,83,Alta,67,46,60
74,84,Alta,77,53,60
75,84,Critica,88,70,30
76,84,Alta,66,51,60
77,85,Media,46,31,120
78,88,Baja,24,20,240
79,89,Baja,23,16,240
80,90,Baja,12,13,240
81,92,Alta,48,42,60
82,94,Alta,76,52,60
83,96,Critica,84,73,30
84,96,Critica,92,76,30
85,98,Alta,50,46,60
86,98,Alta,53,44,60
87,98,Alta,72,49,60
88,98,Alta,72,50,60
89,98,Alta,51,45,60
90,99,Alta,52,42,60
91,99,Alta,59,45,60
92,99,Alta,50,44,60
93,100,Critica,84,73,30
94,101,Critica,93,75,30
95,102,Critica,93,76,30
96,103,Alta,66,46,60
97,104,Critica,90,68,30
98,104,Critica,89,71,30
99,106,Media,48,30,120
100,107,Baja,17,17,240
101,108,Baja,23,18,240
102,109,Baja,17,15,240
103,112,Critica,92,72,30
104,113,Alta,52,44,60
105,114,Critica,85,74,30
106,115,Alta,78,54,60
107,118,Alta,48,41,60
108,118,Alta,47,40,60
109,118,Alta,50,45,60
110,119,Alta,56,43,60
111,120,Alta,66,45,60
112,123,Alta,77,55,60
113,123,Alta,79,56,60
114,123,Critica,85,67,30
115,123,Alta,66,51,60
116,126,Media,47,35,120
117,126,Media,37,32,120
118,126,Media,48,31,120
119,126,Baja,16,17,240
120,128,Baja,17,14,240
121,130,Baja,26,19,240
122,130,Baja,22,13,240
123,131,Media,50,33,120
124,132,Critica,83,70,30
125,132,Alta,51,46,60
126,133,Critica,94,70,30
127,134,Alta,46,43,60
128,136,Alta,58,42,60
129,137,Alta,46,43,60
130,138,Alta,52,44,60
131,138,Alta,51,41,60
132,139,Alta,51,46,60
133,140,Alta,79,50,60
134,141,Critica,92,69,30
135,141,Alta,65,45,60
136,141,Alta,78,55,60
137,141,Critica,94,70,30
138,142,Alta,65,52,60
139,142,Alta,65,47,60
140,144,Alta,65,50,60
141,145,Alta,65,46,60
142,145,Alta,66,51,60
143,147,Baja,28,21,240
144,148,Baja,14,10,240
145,149,Baja,22,13,240
146,149,Baja,26,20,240
147,150,Baja,22,19,240
148,151,Baja,28,18,240
149,151,Critica,91,69,30
150,153,Alta,75,54,60
151,153,Critica,90,72,30
152,154,Critica,93,74,30
153,157,Alta,52,43,60
154,158,Alta,49,41,60
155,159,Alta,49,45,60
156,159,Critica,85,71,30
157,160,Critica,91,72,30
158,163,Alta,64,51,60
159,165,Media,49,30,120
160,167,Baja,10,16,240
161,171,Alta,55,44,60
162,171,Alta,49,45,60
163,173,Alta,76,49,60
164,173,Alta,47,44,60
165,174,Alta,46,42,60
166,176,Alta,72,49,60
167,177,Alta,78,52,60
168,177,Alta,65,51,60
169,178,Critica,93,74,30
170,181,Critica,92,76,30
171,181,Alta,64,49,60
172,181,Critica,87,70,30
173,182,Critica,92,76,30
174,185,Baja,22,19,240
175,186,Baja,21,14,240
176,188,Alta,50,43,60
177,189,Alta,79,57,60
178,190,Alta,53,43,60
179,191,Alta,74,49,60
180,191,Critica,82,71,30
181,192,Alta,49,46,60
182,193,Alta,54,44,60
183,194,Alta,57,44,60
184,195,Alta,47,40,60
185,195,Alta,47,42,60
186,195,Alta,64,49,60
187,196,Critica,89,69,30
188,197,Alta,64,49,60
189,199,Alta,64,46,60
190,200,Alta,79,51,60
191,200,Alta,64,48,60
192,201,Media,36,31,120
193,201,Media,40,32,120
194,201,Baja,13,11,240
195,202,Baja,10,10,240
196,202,Baja,11,9,240
197,203,Baja,11,10,240
198,205,Alta,64,49,60
199,205,Alta,75,48,60
200,206,Critica,83,71,30
201,208,Alta,64,50,60
202,209,Alta,65,49,60
203,210,Alta,72,53,60
204,210,Alta,55,43,60
205,213,Alta,49,42,60
206,213,Alta,78,50,60
207,214,Alta,78,50,60
208,214,Critica,83,73,30
209,215,Critica,94,76,30
210,217,Critica,95,74,30
211,217,Alta,51,42,60
212,218,Media,48,34,120
213,219,Baja,15,14,240
214,220,Baja,23,15,240
215,220,Baja,22,13,240
216,220,Baja,23,15,240
217,222,Baja,13,11,240
218,222,Baja,25,15,240
219,226,Alta,76,54,60
220,226,Critica,85,71,30
221,227,Critica,82,70,30
222,227,Critica,93,70,30
223,228,Critica,85,67,30
