analista,alertas_asignadas,carga_total_min,criticidad_critica,severidad_promedio,carga_promedio_por_alerta_min
1,46,1799,9,51.93478260869565,39.108695652173914
2,55,1900,6,47.10909090909091,34.54545454545455
3,48,1827,8,51.0,38.0625
4,50,1871,8,51.48,37.42
5,44,1712,8,51.70454545454545,38.90909090909091
6,46,1698,7,51.17391304347826,36.91304347826087
7,49,1784,8,49.42857142857143,36.40816326530612
8,55,1721,3,43.14545454545455,31.29090909090909
9,57,1766,7,42.45614035087719,30.982456140350877
10,50,1682,6,45.42,33.64
