poblacion,mutacion,crossover,mejor_fitness,espera_promedio,backlog
10,0.1,0.75,6.077959828053074e-05,817.176,388
20,0.01,0.6,6.070076349049399e-05,823.142,388
20,0.05,0.6,6.034409192358549e-05,820.966,389
20,0.1,0.9,6.0021899093143645e-05,822.448,388
10,0.01,0.6,6.000995706695338e-05,818.43,388
20,0.01,0.75,6.000900449263522e-05,820.87,389
20,0.1,0.75,5.989473451095774e-05,828.708,386
20,0.05,0.9,5.973231876492946e-05,819.554,384
20,0.01,0.9,5.960731252830898e-05,820.816,388
10,0.05,0.75,5.9583567989769355e-05,821.35,386
20,0.05,0.75,5.949904877247409e-05,818.602,385
20,0.1,0.6,5.949904877247409e-05,818.602,385
10,0.1,0.9,5.9361362104941073e-05,829.39,385
10,0.01,0.75,5.930535639318848e-05,817.61,384
10,0.01,0.9,5.930535639318848e-05,817.61,384
10,0.05,0.6,5.922083122715675e-05,822.576,387
10,0.1,0.6,5.9181772430174735e-05,821.166,387
10,0.05,0.9,5.901645056939408e-05,832.692,385
