metodo,generacion,repeticiones,fitness_max_media,fitness_max_desvio,fitness_min_media,fitness_min_desvio,fitness_prom_media,fitness_prom_desvio,desv_std_media,desv_std_desvio,fitness_mejor_gen_media,fitness_mejor_gen_desvio,backlog_alertas_media,backlog_alertas_desvio,desbalance_carga_media,desbalance_carga_desvio,tiempo_gen_media,tiempo_gen_desvio
elitismo,1,30,7.389045047294013e-05,7.793233337954456e-07,6.837173615725177e-05,1.5983655726182397e-06,7.146336338450009e-05,5.652783102638481e-07,1.6714203324352937e-06,4.6444864343893666e-07,7.389045047294013e-05,7.793233337954456e-07,367.4,3.1796768432635116,0.10398677666546043,0.02426376672329256,0.0029326915740966798,0.00028291869587636587
elitismo,2,30,7.434404411542749e-05,6.851297713267832e-07,6.975655427254416e-05,1.224555109743054e-06,7.245145774258308e-05,5.875875825036513e-07,1.4248916803805584e-06,3.6162604397589025e-07,7.434404411542749e-05,6.851297713267832e-07,367.6333333333333,2.684352273163264,0.09959064482836255,0.024730964733081378,0.0031355857849121095,0.00047616630916423743
elitismo,3,30,7.446615429422975e-05,6.579261847043565e-07,7.122164569259416e-05,1.4633018923589056e-06,7.324577538937743e-05,7.721330486965567e-07,1.0640635208788485e-06,3.714900702816383e-07,7.446615429422975e-05,6.579261847043565e-07,367.6666666666667,2.7080128015453213,0.09633986819337668,0.022534641065540068,0.0028891960779825845,0.0001773918327563412
elitismo,4,30,7.456519521768505e-05,6.077800267667409e-07,7.235179740539597e-05,1.453104002921394e-06,7.380354740857886e-05,7.787863870337659e-07,7.148037477629187e-07,3.630889534619161e-07,7.456519521768505e-05,6.077800267667409e-07,367.8666666666667,2.968028874909889,0.09676560503314906,0.023865758408223615,0.0028937101364135743,0.0002736792574352994
elitismo,5,30,7.470875384087654e-05,5.002708406638727e-07,7.276295723104561e-05,1.7223572828877033e-06,7.408116894251377e-05,7.74997807406307e-07,5.891056711765344e-07,4.618028685315554e-07,7.470875384087654e-05,5.002708406638727e-07,368.06666666666666,2.9353180328582806,0.09300576554068146,0.02197266702727195,0.002894441286722819,0.00027874815838617277
elitismo,6,30,7.487146734908487e-05,5.12722042278824e-07,7.341951864236816e-05,1.5094746184414318e-06,7.430182539568349e-05,7.054244632882442e-07,4.6521963999198844e-07,4.854253155595802e-07,7.487146734908487e-05,5.12722042278824e-07,368.0,2.924333109946784,0.08675747805434772,0.022489385458909997,0.0028785943984985353,0.00021684230807720117
elitismo,7,30,7.491740329470552e-05,5.358946565738399e-07,7.372530111195746e-05,1.5036925444227761e-06,7.455170254834042e-05,6.252578422583693e-07,3.724093196193749e-07,4.089336305798271e-07,7.491740329470552e-05,5.358946565738399e-07,367.9,3.0325816929042406,0.08570662024671614,0.0226312808018559,0.003074908256530762,0.0004332609452254707
elitismo,8,30,7.500434356983357e-05,6.149973263413678e-07,7.419163745977177e-05,1.0124232238555904e-06,7.470505380730561e-05,6.085253840191418e-07,2.5869562019020765e-07,3.0224917852978415e-07,7.500434356983357e-05,6.149973263413678e-07,367.8,2.9757641730811164,0.08568050546391541,0.023076330076948297,0.0029540459314982095,0.00031164846079903406
elitismo,9,30,7.502441922860625e-05,5.988941981710161e-07,7.445598167143245e-05,9.16457195066009e-07,7.481777205274351e-05,5.984652315703464e-07,1.8607476173939593e-07,2.628341375101618e-07,7.502441922860625e-05,5.988941981710161e-07,367.7,3.018905944783358,0.08498289846542999,0.023282134618050974,0.00290830930074056,0.0002753945831933195
elitismo,10,30,7.502864086280345e-05,5.982407209312387e-07,7.459824283646287e-05,8.984464988022742e-07,7.491034717635734e-05,6.172328619938648e-07,1.3962130253412456e-07,2.1495374503121357e-07,7.502864086280345e-05,5.982407209312387e-07,367.73333333333335,2.935318032858285,0.08510592085361741,0.023340660399806354,0.002867293357849121,0.00020279283078237443
elitismo,11,30,7.50506270851715e-05,5.997355322670303e-07,7.487380490490914e-05,6.212710407988808e-07,7.498155025909856e-05,5.929679432766671e-07,5.8173127420579623e-08,1.042893207038187e-07,7.50506270851715e-05,5.997355322670303e-07,367.73333333333335,2.8998612729402904,0.08347355955215296,0.02338960974354685,0.0029087066650390625,0.0004164882090750974
elitismo,12,30,7.507211281303503e-05,6.159843172885216e-07,7.494021405620093e-05,6.373903078707778e-07,7.502455419651015e-05,6.026418826207387e-07,3.932171207388731e-08,7.731122479005108e-08,7.507211281303503e-05,6.159843172885216e-07,367.76666666666665,2.896886953781344,0.08297568643530019,0.02363808369448945,0.0030992190043131512,0.0005050496792349449
elitismo,13,30,7.51412374093486e-05,6.827819037201139e-07,7.498316835661617e-05,6.198515706797771e-07,7.505929406109164e-05,6.09112707816027e-07,4.3202096626729885e-08,1.0048342052911167e-07,7.51412374093486e-05,6.827819037201139e-07,367.8333333333333,2.913504032454125,0.08119066975638443,0.02457843936645365,0.0029912551244099935,0.0003432667625568642
elitismo,14,30,7.514793053933187e-05,6.769986822907843e-07,7.497745651063168e-05,6.529894065733717e-07,7.509229242270655e-05,6.208660462665884e-07,5.542594785439068e-08,1.8115330203001002e-07,7.514793053933187e-05,6.769986822907843e-07,367.7,2.995974310464882,0.08144459000105136,0.024498182172263405,0.0029275258382161456,0.00032065415222129484
elitismo,15,30,7.515868268704081e-05,6.724338676334946e-07,7.50845899281869e-05,6.468997341537652e-07,7.512782922547142e-05,6.539008950495194e-07,2.733903557826134e-08,8.004441503967456e-08,7.515868268704081e-05,6.724338676334946e-07,367.7,2.995974310464882,0.08092167314034646,0.024128317150623878,0.0028618574142456055,0.000236800877792647
elitismo,16,30,7.516029718127901e-05,6.726725241431665e-07,7.51165018397228e-05,6.590739664470815e-07,7.514704708771413e-05,6.77213628698484e-07,1.426463489754996e-08,2.776925644851245e-08,7.516029718127901e-05,6.726725241431665e-07,367.76666666666665,2.955804731235713,0.08090646744188863,0.024127239976236864,0.0028379201889038087,0.00013777589985480734
elitismo,17,30,7.517415647996406e-05,6.699971989535901e-07,7.513666953258689e-05,6.700383610558544e-07,7.515731333991688e-05,6.72857813810848e-07,1.1625384823699444e-08,2.1588213750220496e-08,7.517415647996406e-05,6.699971989535901e-07,367.6,3.1359978888099884,0.0803409568162176,0.024118223087526036,0.0029820839564005533,0.00041419743268877814
elitismo,18,30,7.517448773822543e-05,6.699401859865752e-07,7.513445632313788e-05,6.545302437735924e-07,7.516653041163614e-05,6.68167981277343e-07,1.3623122939044745e-08,3.750139359788138e-08,7.517448773822543e-05,6.699401859865752e-07,367.6333333333333,3.0792221737643937,0.08035033556791048,0.024100083026748594,0.003150828679402669,0.0006197290877979748
elitismo,19,30,7.518796662640545e-05,6.624950160438766e-07,7.516459460054648e-05,6.774729168186761e-07,7.517449924718637e-05,6.699467446010313e-07,7.0446723869355485e-09,1.3871612098694584e-08,7.518796662640545e-05,6.624950160438766e-07,367.6666666666667,3.0775419359963396,0.07961687486879367,0.024283815962597675,0.003075098991394043,0.0005773269657355459
elitismo,20,30,7.518958022332817e-05,6.615841055177713e-07,7.516084465876564e-05,6.734294894788683e-07,7.518486907805108e-05,6.636325043646746e-07,9.035491239834208e-09,1.6073255839537026e-08,7.518958022332817e-05,6.615841055177713e-07,367.6666666666667,3.0775419359963396,0.07953221171435487,0.024181177135342718,0.0029119094212849933,0.0005663968836750076
ruleta,1,30,7.389045047294013e-05,7.793233337954456e-07,6.837173615725177e-05,1.5983655726182397e-06,7.146336338450009e-05,5.652783102638481e-07,1.6714203324352937e-06,4.6444864343893666e-07,7.389045047294013e-05,7.793233337954456e-07,367.4,3.1796768432635116,0.10398677666546043,0.02426376672329256,0.002796355883280436,0.00014431065559131415
ruleta,2,30,7.42456859735972e-05,6.978364368398452e-07,6.970384250278587e-05,1.2033927118315912e-06,7.224677780545597e-05,5.958363321973946e-07,1.3943356666390405e-06,3.541917400694669e-07,7.42456859735972e-05,6.978364368398452e-07,367.56666666666666,2.812329177443278,0.09943347568674904,0.02102122354426659,0.0028604984283447264,0.00014154755801696207
ruleta,3,30,7.450585133497377e-05,6.969529740787166e-07,7.084723107740547e-05,1.168426820722386e-06,7.300959903575567e-05,6.519717085872779e-07,1.140601389425004e-06,3.548918454951017e-07,7.450585133497377e-05,6.969529740787166e-07,367.8333333333333,2.780267083837685,0.09635357706964306,0.021250581896404264,0.002816208203633626,0.00010877951421199363
ruleta,4,30,7.454432217451528e-05,6.359532255566094e-07,7.145358198053489e-05,1.4481753953988038e-06,7.340136576455938e-05,7.371588868471379e-07,9.747345703864393e-07,4.5534761395811087e-07,7.454432217451528e-05,6.359532255566094e-07,367.56666666666666,3.255587592849047,0.09681388346707234,0.02122491527889881,0.0028248071670532227,0.00019885317374903898
ruleta,5,30,7.466982046566536e-05,7.317342630554735e-07,7.243226246050611e-05,1.610445849342653e-06,7.376426481245286e-05,8.192224552829447e-07,7.04769511354816e-07,5.403592584785968e-07,7.466982046566536e-05,7.317342630554735e-07,367.93333333333334,2.993479503893408,0.09451736336948773,0.021166367023393518,0.0028551181157430014,0.0002323335317394099
ruleta,6,30,7.477475547467495e-05,6.260941887163829e-07,7.323183452271935e-05,1.2920784285897602e-06,7.41164383955308e-05,7.921057097007282e-07,4.740397012261071e-07,3.7120941347915133e-07,7.477475547467495e-05,6.260941887163829e-07,368.03333333333336,2.9063940608220418,0.09045411024813452,0.02041463786327084,0.002798652648925781,0.00010063990344992747
ruleta,7,30,7.48152399410913e-05,5.925481269274823e-07,7.365923883539959e-05,1.3830337945722768e-06,7.431664348797548e-05,7.966369509593205e-07,3.756953435975537e-07,3.9951718570993254e-07,7.48152399410913e-05,5.925481269274823e-07,367.96666666666664,2.9534705865722026,0.08833409742788532,0.01868931712479764,0.0028360605239868162,0.00028275473784556
ruleta,8,30,7.484818300896405e-05,6.593032700942865e-07,7.385837031306165e-05,1.2784105603856735e-06,7.44401272801152e-05,7.33392424516346e-07,3.225418262519424e-07,3.767832651478295e-07,7.484818300896405e-05,6.593032700942865e-07,367.76666666666665,3.013570837959906,0.09010694735925483,0.01920217942266666,0.002873516082763672,0.0004672750481908947
ruleta,9,30,7.482927931002973e-05,6.047492546637628e-07,7.419689897114478e-05,1.079771173945559e-06,7.46110070535138e-05,7.151412852375698e-07,1.9927299189468147e-07,2.7690326798657325e-07,7.482927931002973e-05,6.047492546637628e-07,367.8333333333333,2.960467499583812,0.08927683526543652,0.01710754884320479,0.0028817017873128256,0.0003518574491171258
ruleta,10,30,7.49340483725834e-05,6.376852099662463e-07,7.44040924414569e-05,1.1153077496439998e-06,7.469996431638342e-05,6.868529725835967e-07,1.5875327226879055e-07,3.1565522186787217e-07,7.49340483725834e-05,6.376852099662463e-07,367.9,3.009754257353108,0.08718956396277434,0.016087806082863174,0.002817686398824056,0.00019395004825780438
ruleta,11,30,7.49360060487341e-05,6.368317279467989e-07,7.459271010379375e-05,7.807804990889839e-07,7.477022914462139e-05,6.424878350487508e-07,1.1893818631560482e-07,2.0714567523451235e-07,7.49360060487341e-05,6.368317279467989e-07,368.0,3.005741632047028,0.08666920438358455,0.01535446286659976,0.0028277079264322916,0.00016162690162224743
ruleta,12,30,7.49510380718747e-05,6.344686931042617e-07,7.461654772133342e-05,9.236884670535817e-07,7.48445968551489e-05,6.325752130883575e-07,1.0710064427984683e-07,2.6522117998781404e-07,7.49510380718747e-05,6.344686931042617e-07,368.03333333333336,3.011281470064542,0.08678902359750101,0.01667679394047806,0.0028485774993896483,0.000312027753937792
ruleta,13,30,7.49683457283916e-05,6.437749599833528e-07,7.474265998974868e-05,7.649967934448278e-07,7.488714426676164e-05,6.35605699616905e-07,6.664030552675383e-08,1.6858995863341072e-07,7.49683457283916e-05,6.437749599833528e-07,368.0,3.005741632047028,0.08662470583703788,0.016619842179654492,0.002850516637166341,0.00032717387342156266
ruleta,14,30,7.501407662778526e-05,5.962372603152764e-07,7.476897463896921e-05,8.415053843666844e-07,7.491034392701127e-05,6.352838301706006e-07,6.674437392294394e-08,1.8284761949287078e-07,7.501407662778526e-05,5.962372603152764e-07,368.0,3.0399637021426535,0.08654614484920362,0.016719896221719967,0.002813402811686198,0.00014164351176659348
ruleta,15,30,7.501387248707725e-05,5.937556427765866e-07,7.482937304992155e-05,6.916784162875853e-07,7.49355485290942e-05,6.139376451403786e-07,6.033818141607758e-08,1.4706097879154943e-07,7.501387248707725e-05,5.937556427765866e-07,368.0,3.005741632047028,0.08645088914384605,0.016571375304607196,0.0028301080067952475,0.00017619654562134055
ruleta,16,30,7.502864057813532e-05,6.106838190094653e-07,7.4922631186007e-05,6.172358506671645e-07,7.497361473548612e-05,6.066616497527573e-07,4.0826780233958416e-08,1.0058617548170197e-07,7.502864057813532e-05,6.106838190094653e-07,368.0,3.005741632047028,0.08605056861485974,0.017358093396588035,0.0028156280517578126,0.00016640358368361544
ruleta,17,30,7.505526395060483e-05,6.205022958323777e-07,7.498806453718184e-05,6.088310913520439e-07,7.502369414535878e-05,6.112082123073498e-07,2.16740436553432e-08,3.992876824717416e-08,7.505526395060483e-05,6.205022958323777e-07,367.96666666666664,3.0112814700645423,0.0856722367079982,0.017017945998811596,0.002848172187805176,0.00025626749698674073
ruleta,18,30,7.507995201509639e-05,6.287534314160794e-07,7.50338309076152e-05,6.251290127749675e-07,7.50528095562022e-05,6.198888972108478e-07,1.597966083910937e-08,3.751288148916054e-08,7.507995201509639e-05,6.287534314160794e-07,367.8666666666667,3.0026807945605922,0.0853264755465079,0.017133537271362843,0.0027970393498738606,0.00010502203766002045
ruleta,19,30,7.508916201194143e-05,6.205517554910127e-07,7.505851633656207e-05,6.084854289845084e-07,7.507793368704807e-05,6.253324547158071e-07,9.760384383415971e-09,1.8073405877479777e-08,7.508916201194143e-05,6.205517554910127e-07,367.8333333333333,3.0970879908372826,0.08519478181278534,0.016988000545795082,0.0027979532877604168,0.0001078761237730261
ruleta,20,30,7.50982973160235e-05,6.186852821065752e-07,7.506379449720965e-05,6.201633287113052e-07,7.508753879087646e-05,6.197579210786118e-07,1.0309825948583499e-08,2.5838484309693452e-08,7.50982973160235e-05,6.186852821065752e-07,367.76666666666665,3.058998408689981,0.08450862568274133,0.016658812614271167,0.002765472730000814,0.000348560650440629
torneo,1,30,7.389045047294013e-05,7.793233337954456e-07,6.837173615725177e-05,1.5983655726182397e-06,7.146336338450009e-05,5.652783102638481e-07,1.6714203324352937e-06,4.6444864343893666e-07,7.389045047294013e-05,7.793233337954456e-07,367.4,3.1796768432635116,0.10398677666546043,0.02426376672329256,0.0028552770614624023,0.0004041560025776134
