fitness_max,fitness_min,fitness_prom,desv_std,tiempo_seg,generacion,fitness_mejor_gen,tiempo_total_estimado_min,espera_promedio_min,espera_critica_promedio_min,backlog_alertas,desbalance_carga
5.850007421172105e-05,5.435322082929147e-05,5.6393658557048806e-05,1.2022312592285082e-06,0.0014410018920898438,1,5.850007421172105e-05,2311,812.972,740.7263157894737,389,0.09286531724610342
5.7958420792277165e-05,5.485585421323208e-05,5.680610367780745e-05,9.531495074917886e-07,0.001360177993774414,2,5.7958420792277165e-05,2402,837.646,721.4736842105264,394,0.1475169855524753
5.810586111287588e-05,5.505259902290497e-05,5.683471900576468e-05,9.225048786307586e-07,0.001374959945678711,3,5.810586111287588e-05,2433,827.192,725.1894736842105,394,0.11044340803236807
5.932963556629037e-05,5.505259902290497e-05,5.7124286666797244e-05,1.2798663314657334e-06,0.0013799667358398438,4,5.932963556629037e-05,2426,824.012,693.3894736842105,391,0.08173985713929299
5.850595204705008e-05,5.505259902290497e-05,5.781990659817271e-05,9.609617447240522e-07,0.0013391971588134766,5,5.850595204705008e-05,2493,817.908,715.5263157894736,389,0.10808120329506107
5.850595204705008e-05,5.734196827726371e-05,5.813399668825529e-05,4.061280898074053e-07,0.0014090538024902344,6,5.850595204705008e-05,2493,817.908,715.5263157894736,389,0.10808120329506107
5.8448350696386854e-05,5.6443362645017756e-05,5.7737715102713006e-05,5.84040727592201e-07,0.0014069080352783203,7,5.8448350696386854e-05,2475,820.27,717.2105263157895,391,0.11112282787160108
5.8593677058872346e-05,5.7244844915243316e-05,5.791327472004356e-05,3.756647280681455e-07,0.0013401508331298828,8,5.8593677058872346e-05,2420,818.494,720.3052631578947,392,0.09993962020356915
5.898149640239904e-05,5.7244844915243316e-05,5.7970153910514056e-05,5.201939903093995e-07,0.0013229846954345703,9,5.898149640239904e-05,2417,816.344,711.4526315789474,393,0.09028922104335013
5.865362039754353e-05,5.68455461454625e-05,5.7820604297356606e-05,5.811574604424092e-07,0.0013387203216552734,10,5.865362039754353e-05,2420,817.862,719.2315789473685,392,0.0959776097946327
5.8593677058872346e-05,5.7338113229848816e-05,5.804476452493555e-05,4.095930356619759e-07,0.0013477802276611328,11,5.8593677058872346e-05,2420,818.494,720.3052631578947,392,0.09993962020356915
5.868409725043115e-05,5.7338113229848816e-05,5.827899014376044e-05,3.879107032243811e-07,0.0013709068298339844,12,5.868409725043115e-05,2403,819.692,717.8526315789474,390,0.11587271320757983
5.868409725043115e-05,5.8111247308346294e-05,5.839951616930254e-05,1.958760478586336e-07,0.001360177993774414,13,5.868409725043115e-05,2403,819.692,717.8526315789474,390,0.11587271320757983
5.8593677058872346e-05,5.761107911400197e-05,5.815253297950791e-05,2.506159196931009e-07,0.0014040470123291016,14,5.8593677058872346e-05,2420,818.494,720.3052631578947,392,0.09993962020356915
5.901870603499557e-05,5.761107911400197e-05,5.820693133053737e-05,3.990643514876545e-07,0.0013189315795898438,15,5.901870603499557e-05,2466,814.994,706.7789473684211,389,0.09188289949622658
5.860532222305463e-05,5.7955529492878366e-05,5.81294398063554e-05,2.1675765651677238e-07,0.0013282299041748047,16,5.860532222305463e-05,2418,819.216,719.3684210526316,392,0.10311124575481347
5.886035218326443e-05,5.788367533484909e-05,5.822334119846301e-05,3.019788154345063e-07,0.001332998275756836,17,5.886035218326443e-05,2402,815.792,717.0526315789474,389,0.10098874365114152
5.868223106493503e-05,5.793413022962599e-05,5.821421725663488e-05,2.6099834181376603e-07,0.0013499259948730469,18,5.868223106493503e-05,2429,820.282,715.6210526315789,391,0.10078059498954792
5.8774284817229924e-05,5.75645416666084e-05,5.8207647510933855e-05,4.048244303127253e-07,0.0013840198516845703,19,5.8774284817229924e-05,2360,819.922,719.7684210526315,395,0.0893357124959025
5.898485260523323e-05,5.729629166484506e-05,5.8296540425305945e-05,5.432560482939739e-07,0.0013167858123779297,20,5.898485260523323e-05,2314,818.562,719.7684210526315,395,0.08281537115477275
