generacion,fitness_maximo,fitness_promedio,fitness_minimo,desviacion_estandar
1,0.5358884123779292,0.19244604817282487,0.0013933461569039796,0.15593340957242155
2,0.5372920852715156,0.40202197067657097,0.09742021830058586,0.15179871222560676
3,0.5358884123779292,0.4289855068514208,0.23181875924797868,0.11450333098682029
4,0.5358884123779292,0.4719016236680802,0.23181875924797868,0.10351963034574373
5,0.5358884123779292,0.45830639245407223,0.23181875924797868,0.12343272328504785
6,0.5372967697043067,0.5191984471901069,0.36846669386888403,0.0502463430728536
7,0.5373207465102776,0.5023909313581063,0.36844683874335415,0.06697014581229058
8,0.5373207465102776,0.4857580245882052,0.36844683874335415,0.07652564248012778
9,0.5373207465102776,0.4859037194965568,0.36844547295289287,0.07662743183882179
10,0.5373207465102776,0.4857594884267633,0.36844701172858485,0.07651896424101713
11,0.5373207560677923,0.5361349902232821,0.5344584065640561,0.000872840850459535
12,0.5373207560677923,0.5361349783396088,0.5344373600624954,0.0008761538423713132
13,0.5373207560677923,0.5365826057630787,0.5344373600624954,0.0009699356879503564
14,0.5373207560677923,0.5367326676743056,0.5344612048975914,0.0009494261205804802
15,0.5373207560677923,0.5363105183662891,0.5344611953655426,0.0011174126807307586
16,0.5373207560677923,0.5367414716589987,0.5344612048975914,0.0009479101520154418
17,0.5387294522837809,0.5367418563139583,0.5344373600624954,0.0013130140775240448
18,0.5387294522837809,0.5371642885070905,0.5344373600624954,0.0014899866699473005
19,0.538729593100019,0.5368807306678373,0.5344373600624954,0.0016977388920090385
20,0.538729593100019,0.5370263549782901,0.5344610646403105,0.0017777645778021159
