n_generaciones,metodo,repeticion,mejor_fitness,generacion_mejor_fitness,mejor_x,estabilidad_desv_prom,tiempo_ejecucion_seg
20,ruleta,1,0.9548856384320584,1,1049241720,0.08148628237004864,0.00211334228515625
20,ruleta,2,0.9921347068693874,19,1069510841,0.1495845816069389,0.0021102428436279297
20,ruleta,3,0.9831554202045812,15,1064660052,0.155924353556344,0.002130746841430664
20,torneo,1,0.9960332440875397,16,1071610072,0.12204151349482814,0.002330780029296875
20,torneo,2,0.9710608045309037,19,1058091151,0.13544135097668253,0.0022859573364257812
20,torneo,3,0.9994487144092771,16,1073445814,0.1604318931478768,0.0021860599517822266
20,elitismo,1,0.9887595013430504,14,1067690073,0.13237500652681958,0.0023064613342285156
20,elitismo,2,0.9991996381645848,15,1073312047,0.15604261614153805,0.0019528865814208984
20,elitismo,3,0.9813796966400165,7,1063698151,0.16575004573649843,0.0018315315246582031
100,ruleta,1,0.9733741341331987,57,1059350731,0.07580088958686314,0.008661270141601562
100,ruleta,2,0.7032954268976367,100,900469001,0.0406647156093071,0.009019136428833008
100,ruleta,3,0.9973512755445878,30,1072318858,0.08142734608960353,0.009063005447387695
100,torneo,1,0.9999945629461998,93,1073738905,0.09475368380822709,0.011303186416625977
100,torneo,2,0.9224428299582283,100,1031263388,0.09979456362676438,0.010652542114257812
100,torneo,3,0.9980308356821571,77,1072684116,0.08083851349194571,0.010599613189697266
100,elitismo,1,0.9999808651379186,95,1073731551,0.08435089361649356,0.008565425872802734
100,elitismo,2,0.9995107988427334,100,1073479154,0.17014837599543703,0.009040117263793945
100,elitismo,3,0.9999999888241291,91,1073741818,0.08576914628384932,0.009129524230957031
200,ruleta,1,0.9994469938003695,179,1073444890,0.0898210117723394,0.01766824722290039
200,ruleta,2,0.9958874113041725,197,1071531620,0.06040286476511228,0.017740726470947266
200,ruleta,3,0.9994223914895417,196,1073431678,0.07955609316206919,0.01745915412902832
200,torneo,1,0.9983954687115016,175,1072880052,0.07687482318564287,0.02035069465637207
200,torneo,2,0.9999845848081524,197,1073733548,0.056833452334832404,0.020696401596069336
200,torneo,3,0.9997169948206813,199,1073589876,0.060851108456601175,0.020116329193115234
200,elitismo,1,0.999999878928069,178,1073741759,0.08255221420951787,0.016603946685791016
200,elitismo,2,0.9999999981373549,194,1073741823,0.06241056377051974,0.016862869262695312
200,elitismo,3,0.9999999981373549,91,1073741823,0.06888245659124312,0.016692161560058594
